input,output
The tap water has a bad smell and is not safe to drink.,water related
Hamare area mein enough public water taps nahi hain.,water related
The tap water has a bad smell and is not safe to drink.,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
There is a shortage of drinking water in our neighbourhood.,water related
The hand pump in our locality is broken and has not been repaired.,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
यह एक गंभीर जल संबंधी समस्या है: पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related
There is very low water pressure in our locality.,water related
Main complaint register karna chahta hoon ki water supply timings irregular aur inconvenient hain.,water related
Water tanker scheduled time par nahi aata hai.,water related
Water tanker scheduled time par nahi aata hai.,water related
Residents in our area are facing a problem because the drinking water pipeline is contaminated.,water related
The municipal water pipeline is leaking near our street.,water related
Please meri complaint register karein ki hamare locality mein regular water supply nahi hai.,water related
Hamare locality mein water pressure bahut low hai.,water related
There is a major water leakage on the main road.,water related
There is a major water leakage on the main road.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
Our locality has been without water for several days.,water related
Ye ek serious water-related issue hai: hamare locality mein regular water supply nahi hai.,water related
Pipeline leakage repair na hone ki wajah se water waste ho raha hai.,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related
Water tanker scheduled time par nahi aata hai.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
Drainage water drinking water pipeline mein mix ho raha hai.,water related
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
The hand pump in our locality is broken and has not been repaired.,water related
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related
Water is being wasted because of an unrepaired pipeline leak.,water related
The water supply is interrupted frequently in our area.,water related
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related
The water tanker does not arrive on its scheduled time.,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
I am facing an issue because there is no regular water supply in our locality.,water related
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related
Municipal pipeline se residents ko dirty water mil raha hai.,water related
Hamare area mein water supply frequently interrupt hoti hai.,water related
Hamare locality mein water pressure bahut low hai.,water related
The water supply is interrupted frequently in our area.,water related
Please meri complaint register karein ki water supply timings irregular aur inconvenient hain.,water related
Hamare locality mein water pressure bahut low hai.,water related
Hamare area mein supply hone wale water mein visible dirt hai.,water related
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related
Hamare area ke residents ko problem ho rahi hai kyunki community water tank damaged hai aur repair ki zarurat hai.,water related
I want to report that the drinking water pipeline is contaminated.,water related
Residents in our area are facing a problem because there is no regular water supply in our locality.,water related
Hamare area ki public water tank regularly fill nahi hoti hai.,water related
The water supply is interrupted frequently in our area.,water related
There is a major water leakage on the main road.,water related
The drainage water is mixing with the drinking water supply.,water related
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related
Residents are forced to buy water because the municipal supply is inadequate.,water related
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related
हमारे मोहल्ले में पीने के पानी की कमी है।,water related
The tap water has a bad smell and is not safe to drink.,water related
Ye ek serious water-related issue hai: community water tank damaged hai aur repair ki zarurat hai.,water related
Hamare neighbourhood mein drinking water ki shortage hai.,water related
The tap water has a bad smell and is not safe to drink.,water related
