input,output
There is a lot of plastic waste on the roadside.,environment
Hamare locality mein proper recycling facility available nahi hai.,environment
There is a lot of plastic waste on the roadside.,environment
स्थानीय तालाब कचरे और प्लास्टिक से प्रदूषित हो गया है।,environment
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment
There is no proper system for collecting household hazardous waste.,environment
The trees in our area are being cut without proper replacement.,environment
हमारे क्षेत्र में कचरा संग्रहण की सेवा नियमित नहीं है।,environment
यह एक गंभीर पर्यावरण संबंधी समस्या है: हमारी गली से नियमित रूप से कचरा नहीं उठाया जाता है।,environment
खुले में कचरा जलाने के कारण हमारे क्षेत्र की हवा बहुत खराब हो गई है।,environment
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि स्थानीय जल स्रोत में सीवेज और कचरा डाला जा रहा है।,environment
स्थानीय पार्क में कचरा और गंदगी फैली हुई है।,environment
The public dustbins in our area are overflowing.,environment
Main complaint register karna chahta hoon ki hamari street se garbage regularly collect nahi kiya jata.,environment
Hamare area mein proper waste segregation facility nahi hai.,environment
Hamare area mein proper waste segregation facility nahi hai.,environment
Residents in our area are facing a problem because sewage and waste are being discharged into the local water body.,environment
The local park is filled with litter and waste.,environment
Please meri complaint register karein ki hamare locality mein excessive garbage dumping ho rahi hai.,environment
Hamare area ke public dustbins garbage se overflow ho rahe hain.,environment
Construction waste has been dumped on the roadside.,environment
Construction waste has been dumped on the roadside.,environment
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment
People are burning garbage in the open and causing air pollution.,environment
Ye ek serious environmental issue hai: hamare locality mein excessive garbage dumping ho rahi hai.,environment
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment
बाजार के पास कचरे के बहुत सारे ढेर लगे हुए हैं।,environment
हमारे क्षेत्र में रीसाइक्लिंग की उचित सुविधा उपलब्ध नहीं है।,environment
सड़क के किनारे निर्माण सामग्री का कचरा डाला गया है।,environment
Hamare area mein proper waste segregation facility nahi hai.,environment
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment
Open waste burning ki wajah se hamare area ki air quality bahut poor ho gayi hai.,environment
स्थानीय तालाब कचरे और प्लास्टिक से प्रदूषित हो गया है।,environment
