input,output
There is no proper footpath for pedestrians on this road.,urban development
School ke paas pedestrians ke liye proper crossing nahi hai.,urban development
There is no proper footpath for pedestrians on this road.,urban development
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development
Poor drainage ki wajah se rainwater roads par collect ho jata hai.,urban development
The newly developed residential area lacks basic civic infrastructure.,urban development
The divider on the main road is damaged and unsafe.,urban development
हमारे क्षेत्र की मुख्य सड़क पर बड़े-बड़े गड्ढे हैं।,urban development
यह एक गंभीर शहरी विकास संबंधी समस्या है: नई बनी सड़क पर पहले से ही दरारें पड़ गई हैं।,urban development
सड़क चौड़ीकरण के काम से स्थानीय लोगों को अनावश्यक परेशानी हो रही है।,urban development
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि नए विकसित क्षेत्र में उचित सार्वजनिक सुविधाएं उपलब्ध नहीं हैं।,urban development
हमारे क्षेत्र का सार्वजनिक पार्क ठीक से बनाए नहीं रखा जाता है।,urban development
The road construction work has been left incomplete for months.,urban development
Main complaint register karna chahta hoon ki newly constructed road par already cracks aa gaye hain.,urban development
Market ke paas road bahut narrow hai aur regular traffic jam hota hai.,urban development
Market ke paas road bahut narrow hai aur regular traffic jam hota hai.,urban development
Residents in our area are facing a problem because there are no proper public facilities in the newly developed area.,urban development
The public park in our area is poorly maintained.,urban development
Please meri complaint register karein ki hamare locality ki roads bahut damaged hain aur repair ki zarurat hai.,urban development
Road construction work kai months se incomplete pada hai.,urban development
The playground in our locality needs urgent repair.,urban development
The playground in our locality needs urgent repair.,urban development
Poor drainage ki wajah se rainwater roads par collect ho jata hai.,urban development
There is poor drainage along the main road in our locality.,urban development
Ye ek serious urban development issue hai: hamare locality ki roads bahut damaged hain aur repair ki zarurat hai.,urban development
Hamare area ka community centre poor condition mein hai.,urban development
हमारे मोहल्ले की सड़क और अन्य बुनियादी सुविधाओं का रखरखाव खराब है।,urban development
स्कूल के पास पैदल यात्रियों के लिए उचित क्रॉसिंग नहीं है।,urban development
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development
Market ke paas road bahut narrow hai aur regular traffic jam hota hai.,urban development
Poor drainage ki wajah se rainwater roads par collect ho jata hai.,urban development
Road expansion work ki wajah se residents ko unnecessary obstruction face karna pad raha hai.,urban development
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development
Main road ka divider damaged hai aur unsafe hai.,urban development
The divider on the main road is damaged and unsafe.,urban development
सड़क चौड़ीकरण के काम से स्थानीय लोगों को अनावश्यक परेशानी हो रही है।,urban development
