input,output
I want to complain that the school does not have clean drinking water for students.,education
School mein students ko proper mid-day meal nahi mil raha hai.,education
The toilets in the school are dirty and not maintained.,education
We are facing a problem because classes are being conducted in overcrowded rooms.,education
The school playground is damaged and cannot be used safely.,education
There is a serious issue that there is no proper library facility available for students.,education
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education
छात्रों को उनकी कक्षाओं की पर्याप्त किताबें नहीं मिल रही हैं।,education
Scholarship payments for eligible students have not been received.,education
School mein basic science laboratory equipment available nahi hai.,education
School mein teachers frequently absent rehte hain aur proper arrangement nahi hota.,education
School mein students ko proper mid-day meal nahi mil raha hai.,education
There is a serious issue that there is no proper library facility available for students.,education
"हमारे क्षेत्र में समस्या यह है कि स्कूल में बिजली की आपूर्ति ठीक नहीं है, जिससे पढ़ाई प्रभावित होती है।",education
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education
The education department has not resolved repeated complaints about the school.,education
School ki building bahut kharab condition mein hai aur repair ki zarurat hai.,education
Teachers are frequently absent from the school without proper arrangement.,education
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education
"स्कूल की चारदीवारी टूटी हुई है, जिससे सुरक्षा की समस्या बनी हुई है।",education
School mein students ko proper mid-day meal nahi mil raha hai.,education
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education
दिव्यांग छात्रों के लिए स्कूल में पर्याप्त सुविधाएं नहीं हैं।,education
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education
The school has very limited computer facilities for students.,education
School ki boundary wall damaged hai aur safety issue create kar rahi hai.,education
Local students ko problem ho rahi hai kyunki classes bahut overcrowded rooms mein conduct ho rahi hain.,education
कृपया शिकायत दर्ज करें कि मेरे क्षेत्र के सरकारी स्कूल में कक्षाओं की उचित व्यवस्था नहीं है।,education
स्कूल में विज्ञान प्रयोगशाला के लिए जरूरी उपकरण नहीं हैं।,education
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education
Students are not receiving proper mid-day meals at the school.,education
Students are not getting enough textbooks for their classes.,education
Main complaint karna chahta hoon ki school mein students ke liye clean drinking water available nahi hai.,education
The school building is in poor condition and needs urgent repair.,education
स्कूल में छात्रों के लिए पर्याप्त डेस्क और बेंच नहीं हैं।,education
The school building is in poor condition and needs urgent repair.,education
School mein students ke liye enough desks aur benches nahi hain.,education
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education
The boundary wall of the school is damaged and creates a safety concern.,education
Disabled students ke liye school mein adequate facilities nahi hain.,education
स्कूल में छात्रों के लिए पर्याप्त डेस्क और बेंच नहीं हैं।,education
Scholarship payments for eligible students have not been received.,education
स्कूल में छात्रों के लिए पर्याप्त डेस्क और बेंच नहीं हैं।,education
School mein teachers frequently absent rehte hain aur proper arrangement nahi hota.,education
The education department has not resolved repeated complaints about the school.,education
The school building is in poor condition and needs urgent repair.,education
School mein students ke liye computer facility bahut limited hai.,education
"हमारे क्षेत्र में समस्या यह है कि स्कूल में बिजली की आपूर्ति ठीक नहीं है, जिससे पढ़ाई प्रभावित होती है।",education
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education
We are facing a problem because classes are being conducted in overcrowded rooms.,education
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education
School mein students ke liye enough desks aur benches nahi hain.,education
The school does not have adequate desks and benches for students.,education
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education
छात्रों को उनकी कक्षाओं की पर्याप्त किताबें नहीं मिल रही हैं।,education
The boundary wall of the school is damaged and creates a safety concern.,education
Please report that there is no proper classroom facility in the government school in my area.,education
School ka playground damaged hai aur safely use nahi ho sakta.,education
स्कूल का खेल मैदान खराब है और सुरक्षित रूप से उपयोग नहीं किया जा सकता।,education
Students are not receiving proper mid-day meals at the school.,education
The school lacks basic science laboratory equipment.,education
Please report that there is no proper classroom facility in the government school in my area.,education
I want to complain that the school does not have clean drinking water for students.,education
The school playground is damaged and cannot be used safely.,education
स्थानीय लोग परेशान हैं क्योंकि कक्षाएं बहुत अधिक भीड़ वाले कमरों में चल रही हैं।,education
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education
Education department ne school ki repeated complaints ka solution nahi kiya hai.,education
Scholarship payments for eligible students have not been received.,education
Eligible students ko scholarship ka payment abhi tak receive nahi hua hai.,education
Students ko unki classes ki enough textbooks nahi mil rahi hain.,education
Students ki sankhya ke hisaab se school mein enough teachers nahi hain.,education
School ka playground damaged hai aur safely use nahi ho sakta.,education
Eligible students ko scholarship ka payment abhi tak receive nahi hua hai.,education
कृपया शिकायत दर्ज करें कि मेरे क्षेत्र के सरकारी स्कूल में कक्षाओं की उचित व्यवस्था नहीं है।,education
Please complaint register karein ki mere area ke government school mein proper classroom facility nahi hai.,education
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education
The school has very limited computer facilities for students.,education
The boundary wall of the school is damaged and creates a safety concern.,education
There are not enough teachers for the number of students in the school.,education
स्कूल में विज्ञान प्रयोगशाला के लिए जरूरी उपकरण नहीं हैं।,education
स्कूल में छात्रों के लिए उचित स्वच्छता की व्यवस्था नहीं है।,education
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education
Local students ko problem ho rahi hai kyunki classes bahut overcrowded rooms mein conduct ho rahi hain.,education
School ki boundary wall damaged hai aur safety issue create kar rahi hai.,education
Students are not receiving proper mid-day meals at the school.,education
स्कूल में छात्रों के लिए कंप्यूटर की सुविधा बहुत सीमित है।,education
There are not enough teachers for the number of students in the school.,education
The school lacks basic science laboratory equipment.,education
स्कूल में विज्ञान प्रयोगशाला के लिए जरूरी उपकरण नहीं हैं।,education
पात्र छात्रों को छात्रवृत्ति की राशि अभी तक नहीं मिली है।,education
कृपया शिकायत दर्ज करें कि मेरे क्षेत्र के सरकारी स्कूल में कक्षाओं की उचित व्यवस्था नहीं है।,education
दिव्यांग छात्रों के लिए स्कूल में पर्याप्त सुविधाएं नहीं हैं।,education
The school does not provide adequate facilities for students with disabilities.,education
Please report that there is no proper classroom facility in the government school in my area.,education
Education department ne school ki repeated complaints ka solution nahi kiya hai.,education
Please complaint register karein ki mere area ke government school mein proper classroom facility nahi hai.,education
The school does not provide adequate facilities for students with disabilities.,education
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education
Students ke liye school mein proper sanitation facility nahi hai.,education
Eligible students ko scholarship ka payment abhi tak receive nahi hua hai.,education
The toilets in the school are dirty and not maintained.,education
दिव्यांग छात्रों के लिए स्कूल में पर्याप्त सुविधाएं नहीं हैं।,education
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education
Education department ne school ki repeated complaints ka solution nahi kiya hai.,education
The school playground is damaged and cannot be used safely.,education
स्कूल के शौचालय गंदे हैं और उनकी सफाई नहीं होती।,education
There is no proper sanitation facility for students.,education
School mein teachers frequently absent rehte hain aur proper arrangement nahi hota.,education
Students are not receiving proper mid-day meals at the school.,education
There are not enough teachers for the number of students in the school.,education
Eligible students ko scholarship ka payment abhi tak receive nahi hua hai.,education
कृपया शिकायत दर्ज करें कि मेरे क्षेत्र के सरकारी स्कूल में कक्षाओं की उचित व्यवस्था नहीं है।,education
School mein teachers frequently absent rehte hain aur proper arrangement nahi hota.,education
There is no proper sanitation facility for students.,education
The boundary wall of the school is damaged and creates a safety concern.,education
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education
School ki boundary wall damaged hai aur safety issue create kar rahi hai.,education
स्थानीय लोग परेशान हैं क्योंकि कक्षाएं बहुत अधिक भीड़ वाले कमरों में चल रही हैं।,education
Students ke liye school mein proper sanitation facility nahi hai.,education
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education
स्कूल में छात्रों को उचित मध्याह्न भोजन नहीं मिल रहा है।,education
"स्कूल की चारदीवारी टूटी हुई है, जिससे सुरक्षा की समस्या बनी हुई है।",education
There is a serious issue that there is no proper library facility available for students.,education
स्कूल का खेल मैदान खराब है और सुरक्षित रूप से उपयोग नहीं किया जा सकता।,education
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education
Students are not getting enough textbooks for their classes.,education
There is no proper sanitation facility for students.,education
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education
दिव्यांग छात्रों के लिए स्कूल में पर्याप्त सुविधाएं नहीं हैं।,education
We are facing a problem because classes are being conducted in overcrowded rooms.,education
School ki boundary wall damaged hai aur safety issue create kar rahi hai.,education
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education
Teachers are frequently absent from the school without proper arrangement.,education
Disabled students ke liye school mein adequate facilities nahi hain.,education
There are not enough teachers for the number of students in the school.,education
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education
The school playground is damaged and cannot be used safely.,education
I want to complain that the school does not have clean drinking water for students.,education
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education
Disabled students ke liye school mein adequate facilities nahi hain.,education
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education
The toilets in the school are dirty and not maintained.,education
स्थानीय लोग परेशान हैं क्योंकि कक्षाएं बहुत अधिक भीड़ वाले कमरों में चल रही हैं।,education
