input,output,category_encoded
ग्रामीण युवाओं के लिए पास में कोई व्यावसायिक प्रशिक्षण केंद्र नहीं है।,rural livelihood,7
Health centre mein patients ke liye enough beds nahi hain.,healthcare,5
हमारे क्षेत्र में बिजली की आपूर्ति बहुत अनियमित है।,energy,3
Main is problem se pareshan hoon kyunki hamari street se garbage regularly collect nahi kiya jata.,environment,4
The community centre in our area is in poor condition.,urban development,8
सरकारी अस्पताल के शौचालय गंदे हैं और उनकी उचित सफाई नहीं होती।,healthcare,5
"Hamare area mein issue ye hai ki school ki electricity supply reliable nahi hai, jiski wajah se classes affect hoti hain.",education,2
स्थानीय लोगों को समस्या हो रही है क्योंकि जरूरत के समय एंबुलेंस सेवा उपलब्ध नहीं होती है।,healthcare,5
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration,6
Hamare area ke residents ko problem ho rahi hai kyunki local water body mein sewage aur waste discharge kiya ja raha hai.,environment,4
स्कूल में छात्रों को उचित मध्याह्न भोजन नहीं मिल रहा है।,education,2
Important government notices publicly display nahi kiye ja rahe hain.,public administration,6
Exposed electrical wires residents ke liye safety risk create kar rahe hain.,energy,3
Visually impaired pedestrians ke liye tactile path nahi hai.,accessibility,0
The local pond is polluted with garbage and plastic.,environment,4
Hamare area mein electricity supply bahut unreliable hai.,energy,3
Residents in our area are facing a problem because there is excessive garbage dumping in our locality.,environment,4
The bus stop does not have facilities for people with disabilities.,accessibility,0
बाजार के पास कचरे के बहुत सारे ढेर लगे हुए हैं।,environment,4
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood,7
हमारे क्षेत्र का ट्रांसफॉर्मर ओवरलोड है और बार-बार ट्रिप करता है।,energy,3
Hamare locality mein installed solar streetlights functioning nahi hain.,energy,3
Main complaint register karna chahta hoon ki hamare village mein small businesses ke liye proper facilities ki shortage hai.,rural livelihood,7
कृपया मेरी शिकायत दर्ज करें कि सड़क पर ऐसी बाधाएं हैं जिनसे व्हीलचेयर उपयोगकर्ताओं को गुजरने में परेशानी होती है।,accessibility,0
Local self-help groups ko timely financial support nahi mil raha hai.,rural livelihood,7
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education,2
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture,1
Hospital mein emergency services properly available nahi hain.,healthcare,5
यह एक गंभीर शहरी विकास संबंधी समस्या है: हमारे क्षेत्र में सार्वजनिक बैठने की जगह खराब हो गई है।,urban development,8
Local residents ko problem ho rahi hai kyunki mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration,6
Main complaint register karna chahta hoon ki newly constructed road par already cracks aa gaye hain.,urban development,8
Government health centre mein medicines ki shortage hai.,healthcare,5
There are no audio announcements for visually impaired passengers.,accessibility,0
Rural workers ko government livelihood schemes ki information time par nahi milti.,rural livelihood,7
People in our area are migrating because there are not enough local jobs.,rural livelihood,7
School ki building bahut kharab condition mein hai aur repair ki zarurat hai.,education,2
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related,9
Hamare village mein young people ke liye proper skill training opportunities nahi hain.,rural livelihood,7
The drainage water is mixing with the drinking water supply.,water related,9
Please meri complaint register karein ki construction work ki wajah se excessive dust pollution ho raha hai.,environment,4
मैं इस समस्या से परेशान हूं क्योंकि सार्वजनिक पार्क में व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ रास्ते नहीं हैं।,accessibility,0
The street infrastructure in our neighbourhood is poorly maintained.,urban development,8
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment,4
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: हमारे क्षेत्र का सरकारी कार्यालय समय पर सेवाएं उपलब्ध नहीं कराता है।,public administration,6
Please report that there is no proper classroom facility in the government school in my area.,education,2
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र की सड़कें बहुत खराब हैं और मरम्मत की जरूरत है।,urban development,8
Please meri complaint register karein ki water supply timings irregular aur inconvenient hain.,water related,9
Teachers are frequently absent from the school without proper arrangement.,education,2
The government service counter is overcrowded and poorly managed.,public administration,6
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education,2
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood,7
Rainwater accumulates on the roads because of poor drainage.,urban development,8
मैं शिकायत दर्ज करना चाहता हूं कि हमारी गली से नियमित रूप से कचरा नहीं उठाया जाता है।,environment,4
सड़क के किनारे बहुत अधिक प्लास्टिक कचरा पड़ा है।,environment,4
I am facing an issue because the newly constructed road has developed cracks already.,urban development,8
There are not enough public water taps in our area.,water related,9
There is a shortage of medicines at the government health centre.,healthcare,5
अस्पताल परिसर की नियमित रूप से सफाई नहीं होती है।,healthcare,5
स्थानीय सरकारी कार्यालय में उचित शिकायत निवारण डेस्क नहीं है।,public administration,6
Hamare area ke farmers ko problem ho rahi hai kyunki hamare farms ko main market se connect karne wali road bahut damaged hai.,agriculture,1
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy,3
मैं इस समस्या से परेशान हूं क्योंकि स्थानीय जल स्रोत में सीवेज और कचरा डाला जा रहा है।,environment,4
खुले में कचरा जलाने के कारण हमारे क्षेत्र की हवा बहुत खराब हो गई है।,environment,4
The hospital does not have proper facilities for people with disabilities.,healthcare,5
Residents in our village are facing a problem because there are not enough employment opportunities for people in our village.,rural livelihood,7
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related,9
सरकारी कार्यालय में जमा किया गया आवेदन अभी तक संसाधित नहीं हुआ है।,public administration,6
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में बार-बार बिजली कटौती होती है।,energy,3
Public service counter wheelchair users ke liye bahut high hai.,accessibility,0
The footpath in our area is not accessible for wheelchair users.,accessibility,0
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development,8
The village irrigation pump is damaged and has not been repaired.,agriculture,1
Hamare area mein supply hone wale water mein visible dirt hai.,water related,9
There is no proper queue management at the government office.,public administration,6
सार्वजनिक सेवा केंद्र में उचित टोकन व्यवस्था नहीं है।,public administration,6
हमारे मोहल्ले में बिजली का वोल्टेज बहुत कम रहता है।,energy,3
ग्रामीण श्रमिकों को सरकारी आजीविका योजनाओं की जानकारी समय पर नहीं मिलती है।,rural livelihood,7
मैं इस समस्या से परेशान हूं क्योंकि पानी की आपूर्ति का समय अनियमित और असुविधाजनक है।,water related,9
Hamare locality mein installed solar streetlights functioning nahi hain.,energy,3
The health centre does not have adequate facilities for elderly patients.,healthcare,5
Hamare locality ke playground ko urgent repair ki zarurat hai.,urban development,8
There is a serious healthcare issue: ambulance services are not available when urgently needed.,healthcare,5
People are burning garbage in the open and causing air pollution.,environment,4
The school playground is damaged and cannot be used safely.,education,2
Railway station par adequate accessibility facilities nahi hain.,accessibility,0
The local healthcare centre is closed during its listed working hours.,healthcare,5
हमारे क्षेत्र का फुटपाथ व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ नहीं है।,accessibility,0
The pedestrian crossing does not have an accessible signal.,accessibility,0
स्थानीय लोगों को सुलभता की समस्या हो रही है क्योंकि सार्वजनिक पार्क में व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ रास्ते नहीं हैं।,accessibility,0
Students are not getting enough textbooks for their classes.,education,2
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy,3
"Log open mein garbage burn kar rahe hain, jiski wajah se air pollution ho raha hai.",environment,4
मैं शिकायत दर्ज करना चाहता हूं कि अस्पताल में मरीजों के लिए साफ पीने का पानी उपलब्ध नहीं है।,healthcare,5
Please complaint register karein ki mere area ke government school mein proper classroom facility nahi hai.,education,2
हमारे क्षेत्र में रीसाइक्लिंग की उचित सुविधा उपलब्ध नहीं है।,environment,4
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy,3
Please meri complaint register karein ki hamari street se garbage regularly collect nahi kiya jata.,environment,4
Ye ek serious rural livelihood issue hai: local market small rural producers ko adequate support nahi deta hai.,rural livelihood,7
Local pond garbage aur plastic ki wajah se polluted ho gaya hai.,environment,4
The government office staff are not responding to citizen queries.,public administration,6
The government service counter is overcrowded and poorly managed.,public administration,6
सड़क के पास बिजली का ढीला तार लटक रहा है।,energy,3
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture,1
मैं इस समस्या से परेशान हूं क्योंकि जरूरत के समय एंबुलेंस सेवा उपलब्ध नहीं होती है।,healthcare,5
Hamare area ki main road par bade potholes hain.,urban development,8
नल के पानी से बदबू आती है और यह पीने के लिए सुरक्षित नहीं है।,water related,9
Hamare neighbourhood mein drinking water ki shortage hai.,water related,9
The canal water supply to our village is irregular.,agriculture,1
Hamare area ki public facility mein reliable power supply nahi hai.,energy,3
Public office mein updated service timings display nahi kiye gaye hain.,public administration,6
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment,4
सरकारी क्लिनिक में डॉक्टरों के आने का समय नियमित नहीं है।,healthcare,5
School ka playground damaged hai aur safely use nahi ho sakta.,education,2
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related,9
A damaged electricity pole has not been repaired.,energy,3
There is no proper footpath for pedestrians on this road.,urban development,8
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development,8
Hamare village ki women entrepreneurs ko proper institutional support nahi mil raha hai.,rural livelihood,7
स्कूल की इमारत बहुत खराब हालत में है और मरम्मत की जरूरत है।,education,2
खुले बिजली के तार स्थानीय लोगों के लिए सुरक्षा का खतरा पैदा कर रहे हैं।,energy,3
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारी गली से नियमित रूप से कचरा नहीं उठाया जाता है।,environment,4
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration,6
The road expansion work has caused unnecessary obstruction for residents.,urban development,8
The street infrastructure in our neighbourhood is poorly maintained.,urban development,8
कृपया मेरी शिकायत दर्ज करें कि स्थानीय कृषि कार्यालय किसानों को उचित मार्गदर्शन नहीं दे रहा है।,agriculture,1
Farmers are not getting timely information about government agriculture schemes.,agriculture,1
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy,3
There is a serious urban development issue: the public seating area in our locality is damaged.,urban development,8
Residents ko accessibility ki problem ho rahi hai kyunki public park mein wheelchair users ke liye accessible paths nahi hain.,accessibility,0
The health centre does not have adequate facilities for elderly patients.,healthcare,5
The government procurement centre is not accepting crops regularly.,agriculture,1
Market ke paas road bahut narrow hai aur regular traffic jam hota hai.,urban development,8
Education department ne school ki repeated complaints ka solution nahi kiya hai.,education,2
There is a serious issue that there is no proper library facility available for students.,education,2
Farmers are facing difficulty getting subsidized seeds.,agriculture,1
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture,1
The government clinic has irregular doctor timings.,healthcare,5
We are experiencing low voltage in our neighbourhood.,energy,3
Public toilet mein disabled people ke liye proper accessible facility nahi hai.,accessibility,0
हमारे क्षेत्र में आने वाले पानी में दिखाई देने वाली गंदगी है।,water related,9
हमारे गांव की महिलाओं के लिए आय अर्जित करने के अवसर सीमित हैं।,rural livelihood,7
Hamare area ke residents ko problem ho rahi hai kyunki drinking water pipeline contaminated ho gayi hai.,water related,9
मैं शिकायत करना चाहता हूं कि स्कूल में छात्रों के लिए साफ पीने का पानी उपलब्ध नहीं है।,education,2
Please meri complaint register karein ki hamare locality ka public seating area damaged hai.,urban development,8
The public office does not display updated service timings.,public administration,6
The school does not have adequate desks and benches for students.,education,2
