input,output
Farmers are facing difficulty getting subsidized seeds.,agriculture
Farmers ko crop procurement ke liye bahut long wait karna padta hai.,agriculture
Farmers are facing difficulty getting subsidized seeds.,agriculture
गांव का सिंचाई पंप खराब है और अभी तक उसकी मरम्मत नहीं हुई है।,agriculture
Crop damage se affected farmers ko compensation nahi mila hai.,agriculture
The drainage system around agricultural fields is poor and causes waterlogging.,agriculture
There is a shortage of agricultural machinery available for farmers.,agriculture
हमारे गांव में नहर से पानी की आपूर्ति अनियमित है।,agriculture
यह एक गंभीर कृषि संबंधी समस्या है: छोटे किसानों के लिए खाद की कीमतें बहुत अधिक हैं।,agriculture
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture
हमारे क्षेत्र के किसानों को समस्या हो रही है क्योंकि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture
स्थानीय मंडी में किसानों के लिए उचित सुविधाएं नहीं हैं।,agriculture
There is a shortage of fertilizers at the local agricultural centre.,agriculture
Main complaint register karna chahta hoon ki small farmers ke liye fertilizer prices bahut high hain.,agriculture
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture
Farmers in our area are facing a problem because the road connecting our farms to the main market is badly damaged.,agriculture
The local mandi does not offer proper facilities for farmers.,agriculture
Please meri complaint register karein ki mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture
Local agriculture centre mein fertilizers ki shortage hai.,agriculture
Farmers are not getting fair prices for their crops at the mandi.,agriculture
Farmers are not getting fair prices for their crops at the mandi.,agriculture
Crop damage se affected farmers ko compensation nahi mila hai.,agriculture
Farmers are not receiving crop insurance payments on time.,agriculture
Ye ek serious agriculture-related issue hai: mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture
किसानों को फसल की सरकारी खरीद के लिए बहुत देर तक इंतजार करना पड़ता है।,agriculture
किसानों को मंडी में अपनी फसलों का उचित मूल्य नहीं मिल रहा है।,agriculture
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture
Crop damage se affected farmers ko compensation nahi mila hai.,agriculture
Farmers ko government agriculture schemes ki information time par nahi milti.,agriculture
गांव का सिंचाई पंप खराब है और अभी तक उसकी मरम्मत नहीं हुई है।,agriculture
Farmers ke liye agricultural machinery ki availability bahut kam hai.,agriculture
There is a shortage of agricultural machinery available for farmers.,agriculture
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture
Pest attacks are damaging crops and there is no timely support.,agriculture
The canal water supply to our village is irregular.,agriculture
कीटों के हमले से फसल खराब हो रही है और समय पर सहायता नहीं मिल रही है।,agriculture
The government procurement centre is not accepting crops regularly.,agriculture
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture
I am facing an issue because farmers in my area are not getting a reliable supply of irrigation water.,agriculture
Farmers ke liye agricultural machinery ki availability bahut kam hai.,agriculture
Agriculture ke liye electricity supply frequently interrupt hoti hai.,agriculture
Hamare village mein canal water supply irregular hai.,agriculture
Local agriculture centre mein fertilizers ki shortage hai.,agriculture
The canal water supply to our village is irregular.,agriculture
Please meri complaint register karein ki small farmers ke liye fertilizer prices bahut high hain.,agriculture
Local agriculture centre mein fertilizers ki shortage hai.,agriculture
Village ka irrigation pump damaged hai aur abhi tak repair nahi hua.,agriculture
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture
Hamare area ke farmers ko problem ho rahi hai kyunki local agriculture office farmers ko proper guidance nahi de raha hai.,agriculture
I want to report that the road connecting our farms to the main market is badly damaged.,agriculture
Farmers in our area are facing a problem because farmers in my area are not getting a reliable supply of irrigation water.,agriculture
Crop damage se affected farmers ko compensation nahi mila hai.,agriculture
The canal water supply to our village is irregular.,agriculture
Farmers are not getting fair prices for their crops at the mandi.,agriculture
Farmers are not getting timely information about government agriculture schemes.,agriculture
किसानों को फसल की सरकारी खरीद के लिए बहुत देर तक इंतजार करना पड़ता है।,agriculture
हमारे गांव में नहर से पानी की आपूर्ति अनियमित है।,agriculture
There is no proper cold storage facility near our village.,agriculture
स्थानीय कृषि केंद्र में खाद की कमी है।,agriculture
"खेतों के आसपास जल निकासी की व्यवस्था खराब है, जिससे जलभराव होता है।",agriculture
Farmers are facing difficulty getting subsidized seeds.,agriculture
Ye ek serious agriculture-related issue hai: local agriculture office farmers ko proper guidance nahi de raha hai.,agriculture
"Agricultural fields ke around drainage system poor hai, jiski wajah se waterlogging hoti hai.",agriculture
Farmers are facing difficulty getting subsidized seeds.,agriculture
There is no proper cold storage facility near our village.,agriculture
The drainage system around agricultural fields is poor and causes waterlogging.,agriculture
किसानों को फसल बीमा का भुगतान समय पर नहीं मिल रहा है।,agriculture
स्थानीय कृषि केंद्र में खाद की कमी है।,agriculture
The village irrigation pump is damaged and has not been repaired.,agriculture
Hamare village mein canal water supply irregular hai.,agriculture
मैं इस समस्या से परेशान हूं क्योंकि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture
Farmers ko government agriculture schemes ki information time par nahi milti.,agriculture
Main complaint register karna chahta hoon ki hamare farms ko main market se connect karne wali road bahut damaged hai.,agriculture
Farmers have to wait too long for crop procurement.,agriculture
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture
I am facing an issue because farmers in my area are not getting a reliable supply of irrigation water.,agriculture
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture
Farmers are not receiving crop insurance payments on time.,agriculture
There is no proper cold storage facility near our village.,agriculture
Crop damage se affected farmers ko compensation nahi mila hai.,agriculture
Farmers are not getting fair prices for their crops at the mandi.,agriculture
