input,output
There is no tactile path for visually impaired pedestrians.,accessibility
Public building ke paas accessible parking space nahi hai.,accessibility
There is no tactile path for visually impaired pedestrians.,accessibility
सार्वजनिक सेवा काउंटर व्हीलचेयर उपयोगकर्ताओं के लिए बहुत ऊंचा है।,accessibility
Public building mein stairs use na kar sakne wale logon ke liye lift nahi hai.,accessibility
The local civic facility does not provide adequate accessibility support.,accessibility
The railway station does not have adequate accessibility facilities.,accessibility
हमारे क्षेत्र का फुटपाथ व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ नहीं है।,accessibility
यह एक गंभीर सुलभता संबंधी समस्या है: सड़क पर ऐसी बाधाएं हैं जिनसे व्हीलचेयर उपयोगकर्ताओं को गुजरने में परेशानी होती है।,accessibility
दृष्टिबाधित यात्रियों के लिए ऑडियो घोषणा की सुविधा नहीं है।,accessibility
स्थानीय लोगों को सुलभता की समस्या हो रही है क्योंकि सार्वजनिक बसों में व्हीलचेयर के लिए उचित प्रवेश सुविधा नहीं है।,accessibility
सार्वजनिक भवन की सीढ़ियों पर उचित हैंडरेल नहीं है।,accessibility
The pedestrian crossing does not have an accessible signal.,accessibility
Main complaint register karna chahta hoon ki road par obstacles hain jiski wajah se wheelchair users ko pass hone mein problem hoti hai.,accessibility
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility
Residents are facing an accessibility problem because public buses do not provide proper wheelchair access.,accessibility
The stairs in the public building do not have a proper handrail.,accessibility
Please meri complaint register karein ki government building ke entrance par wheelchair ke liye ramp nahi hai.,accessibility
Pedestrian crossing par accessible signal available nahi hai.,accessibility
The bus stop does not have facilities for people with disabilities.,accessibility
The bus stop does not have facilities for people with disabilities.,accessibility
Public building mein stairs use na kar sakne wale logon ke liye lift nahi hai.,accessibility
The government office does not have an accessible entrance.,accessibility
Ye ek serious accessibility issue hai: government building ke entrance par wheelchair ke liye ramp nahi hai.,accessibility
Government website visually disabled people ke liye use karna difficult hai.,accessibility
खड़ी की गई गाड़ियां सुलभ फुटपाथ को रोक रही हैं।,accessibility
सार्वजनिक भवन के पास दिव्यांग लोगों के लिए आरक्षित पार्किंग नहीं है।,accessibility
बस स्टॉप पर दिव्यांग लोगों के लिए उचित सुविधाएं नहीं हैं।,accessibility
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility
Public building mein stairs use na kar sakne wale logon ke liye lift nahi hai.,accessibility
Visually impaired passengers ke liye audio announcements nahi hain.,accessibility
सार्वजनिक सेवा काउंटर व्हीलचेयर उपयोगकर्ताओं के लिए बहुत ऊंचा है।,accessibility
Railway station par adequate accessibility facilities nahi hain.,accessibility
The railway station does not have adequate accessibility facilities.,accessibility
दृष्टिबाधित यात्रियों के लिए ऑडियो घोषणा की सुविधा नहीं है।,accessibility
The government website is difficult for people with visual disabilities to use.,accessibility
The footpath in our area is not accessible for wheelchair users.,accessibility
सरकारी वेबसाइट दृष्टिबाधित लोगों के लिए उपयोग करना बहुत कठिन है।,accessibility
The footpath is too uneven for elderly and disabled pedestrians.,accessibility
खड़ी की गई गाड़ियां सुलभ फुटपाथ को रोक रही हैं।,accessibility
I am facing an issue because there is no wheelchair ramp at the entrance of the government building.,accessibility
Railway station par adequate accessibility facilities nahi hain.,accessibility
Public toilet mein disabled people ke liye proper accessible facility nahi hai.,accessibility
