input,output
The application submitted to the government office has not been processed.,public administration
Government service counter overcrowded hai aur management poor hai.,public administration
The application submitted to the government office has not been processed.,public administration
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration
Local government office mein proper grievance desk nahi hai.,public administration
The concerned department has not resolved the issue despite repeated requests.,public administration
Officials are delaying the verification of submitted documents.,public administration
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: लोगों को सरकारी सेवाओं के बारे में स्पष्ट जानकारी नहीं मिलती है।,public administration
सरकारी कार्यालय में वरिष्ठ नागरिकों के लिए उचित सहायता उपलब्ध नहीं है।,public administration
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration
There is no proper queue management at the government office.,public administration
Main complaint register karna chahta hoon ki residents ko government services ke baare mein clear information nahi milti.,public administration
Public service centre mein proper token system nahi hai.,public administration
Public service centre mein proper token system nahi hai.,public administration
Residents in our area are facing a problem because the application status is not being updated by the concerned department.,public administration
Repeated complaints submitted to the department have not been addressed.,public administration
Please meri complaint register karein ki hamare area ka government office services time par provide nahi karta.,public administration
Government office mein proper queue management nahi hai.,public administration
The government office staff are not responding to citizen queries.,public administration
The government office staff are not responding to citizen queries.,public administration
Local government office mein proper grievance desk nahi hai.,public administration
The public office does not display updated service timings.,public administration
Ye ek serious public administration issue hai: hamare area ka government office services time par provide nahi karta.,public administration
Hamare area mein civic complaint submit karne ka clear process nahi hai.,public administration
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration
सरकारी कार्यालय का स्टाफ नागरिकों के सवालों का जवाब नहीं देता है।,public administration
Public service centre mein proper token system nahi hai.,public administration
Local government office mein proper grievance desk nahi hai.,public administration
Public office mein senior citizens ke liye proper assistance available nahi hai.,public administration
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration
Officials submitted documents ki verification mein delay kar rahe hain.,public administration
Officials are delaying the verification of submitted documents.,public administration
सरकारी कार्यालय में वरिष्ठ नागरिकों के लिए उचित सहायता उपलब्ध नहीं है।,public administration
There is no clear process for submitting civic complaints in our area.,public administration
There is excessive waiting time at the local government office.,public administration
हमारे क्षेत्र में नागरिक शिकायत दर्ज करने की स्पष्ट प्रक्रिया नहीं है।,public administration
There is no proper token system at the public service centre.,public administration
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration
I am facing an issue because the government office in our area does not provide services on time.,public administration
Officials submitted documents ki verification mein delay kar rahe hain.,public administration
Public office ke officials working hours mein frequently available nahi hote.,public administration
Local government office mein bahut long waiting time hai.,public administration
Government office mein proper queue management nahi hai.,public administration
There is excessive waiting time at the local government office.,public administration
Please meri complaint register karein ki residents ko government services ke baare mein clear information nahi milti.,public administration
Government office mein proper queue management nahi hai.,public administration
Important government notices publicly display nahi kiye ja rahe hain.,public administration
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration
Hamare area ke residents ko problem ho rahi hai kyunki local administration ne residents ke requests ka response nahi diya hai.,public administration
I want to report that the application status is not being updated by the concerned department.,public administration
Residents in our area are facing a problem because the government office in our area does not provide services on time.,public administration
Local government office mein proper grievance desk nahi hai.,public administration
There is excessive waiting time at the local government office.,public administration
The government office staff are not responding to citizen queries.,public administration
The public office does not provide proper assistance to senior citizens.,public administration
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration
Citizens have to visit the government office multiple times for the same service.,public administration
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration
The application submitted to the government office has not been processed.,public administration
Ye ek serious public administration issue hai: local administration ne residents ke requests ka response nahi diya hai.,public administration
Repeated requests ke baad bhi concerned department ne issue resolve nahi kiya hai.,public administration
The application submitted to the government office has not been processed.,public administration
Citizens have to visit the government office multiple times for the same service.,public administration
The concerned department has not resolved the issue despite repeated requests.,public administration
सरकारी कार्यालय में सेवाओं का अपडेटेड समय प्रदर्शित नहीं किया गया है।,public administration
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration
Important government notices are not displayed publicly.,public administration
Local government office mein bahut long waiting time hai.,public administration
मैं इस समस्या से परेशान हूं क्योंकि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration
Public office mein senior citizens ke liye proper assistance available nahi hai.,public administration
Main complaint register karna chahta hoon ki concerned department application status update nahi kar raha hai.,public administration
The government service counter is overcrowded and poorly managed.,public administration
Hamare area mein civic complaint submit karne ka clear process nahi hai.,public administration
I am facing an issue because the government office in our area does not provide services on time.,public administration
Hamare area mein civic complaint submit karne ka clear process nahi hai.,public administration
The public office does not display updated service timings.,public administration
Citizens have to visit the government office multiple times for the same service.,public administration
Local government office mein proper grievance desk nahi hai.,public administration
The government office staff are not responding to citizen queries.,public administration
Main complaint register karna chahta hoon ki concerned department application status update nahi kar raha hai.,public administration
Citizens have to visit the government office multiple times for the same service.,public administration
Public office mein updated service timings display nahi kiye gaye hain.,public administration
The concerned department has not resolved the issue despite repeated requests.,public administration
Officials at the public office are frequently unavailable during working hours.,public administration
Hamare area ke residents ko problem ho rahi hai kyunki local administration ne residents ke requests ka response nahi diya hai.,public administration
स्थानीय सरकारी कार्यालय में उचित शिकायत निवारण डेस्क नहीं है।,public administration
सरकारी कार्यालय में वरिष्ठ नागरिकों के लिए उचित सहायता उपलब्ध नहीं है।,public administration
अधिकारी जमा किए गए दस्तावेजों के सत्यापन में देरी कर रहे हैं।,public administration
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration
There is no proper queue management at the government office.,public administration
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration
Department mein submit ki gayi repeated complaints ka solution nahi hua hai.,public administration
The government service counter is overcrowded and poorly managed.,public administration
Public office ke officials working hours mein frequently available nahi hote.,public administration
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration
Local government office mein bahut long waiting time hai.,public administration
मैं इस समस्या से परेशान हूं क्योंकि स्थानीय प्रशासन ने निवासियों के अनुरोधों का जवाब नहीं दिया है।,public administration
Repeated requests ke baad bhi concerned department ne issue resolve nahi kiya hai.,public administration
सरकारी कार्यालय में वरिष्ठ नागरिकों के लिए उचित सहायता उपलब्ध नहीं है।,public administration
There is a serious public administration issue: the local administration has not responded to requests from residents.,public administration
Hamare area ke residents ko problem ho rahi hai kyunki residents ko government services ke baare mein clear information nahi milti.,public administration
The government office staff are not responding to citizen queries.,public administration
Please register my complaint that the application status is not being updated by the concerned department.,public administration
हमारे क्षेत्र में नागरिक शिकायत दर्ज करने की स्पष्ट प्रक्रिया नहीं है।,public administration
Hamare area mein civic complaint submit karne ka clear process nahi hai.,public administration
Government office staff citizen queries ka response nahi karta.,public administration
Department mein submit ki gayi repeated complaints ka solution nahi hua hai.,public administration
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: हमारे क्षेत्र का सरकारी कार्यालय समय पर सेवाएं उपलब्ध नहीं कराता है।,public administration
Officials are delaying the verification of submitted documents.,public administration
There is a serious public administration issue: the government office in our area does not provide services on time.,public administration
There is no proper queue management at the government office.,public administration
There is excessive waiting time at the local government office.,public administration
सरकारी कार्यालय के अधिकारी काम के समय अक्सर उपलब्ध नहीं रहते हैं।,public administration
The government service counter is overcrowded and poorly managed.,public administration
The public office does not provide proper assistance to senior citizens.,public administration
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration
Officials submitted documents ki verification mein delay kar rahe hain.,public administration
Officials at the public office are frequently unavailable during working hours.,public administration
Citizens have to visit the government office multiple times for the same service.,public administration
Important government notices publicly display nahi kiye ja rahe hain.,public administration
There is no clear process for submitting civic complaints in our area.,public administration
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration
सरकारी कार्यालय में जमा किया गया आवेदन अभी तक संसाधित नहीं हुआ है।,public administration
Public office mein updated service timings display nahi kiye gaye hain.,public administration
Important government notices publicly display nahi kiye ja rahe hain.,public administration
Officials at the public office are frequently unavailable during working hours.,public administration
सरकारी कार्यालय का स्टाफ नागरिकों के सवालों का जवाब नहीं देता है।,public administration
The application submitted to the government office has not been processed.,public administration
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र का सरकारी कार्यालय समय पर सेवाएं उपलब्ध नहीं कराता है।,public administration
Residents in our area are facing a problem because the local administration has not responded to requests from residents.,public administration
Residents in our area are facing a problem because the government office in our area does not provide services on time.,public administration
सरकारी कार्यालय के अधिकारी काम के समय अक्सर उपलब्ध नहीं रहते हैं।,public administration
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration
एक ही सेवा के लिए नागरिकों को सरकारी कार्यालय के कई चक्कर लगाने पड़ते हैं।,public administration
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration
Important government notices are not displayed publicly.,public administration
Residents in our area are facing a problem because residents are not receiving clear information about government services.,public administration
Public office mein senior citizens ke liye proper assistance available nahi hai.,public administration
Hamare area ke residents ko problem ho rahi hai kyunki hamare area ka government office services time par provide nahi karta.,public administration
सरकारी कार्यालय में सेवाओं का अपडेटेड समय प्रदर्शित नहीं किया गया है।,public administration
Main complaint register karna chahta hoon ki hamare area ka government office services time par provide nahi karta.,public administration
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration
Please register my complaint that residents are not receiving clear information about government services.,public administration
सरकारी कार्यालय में सेवाओं का अपडेटेड समय प्रदर्शित नहीं किया गया है।,public administration
Local government office mein bahut long waiting time hai.,public administration
Hamare area ke residents ko problem ho rahi hai kyunki concerned department application status update nahi kar raha hai.,public administration
Department mein submit ki gayi repeated complaints ka solution nahi hua hai.,public administration
The public office does not display updated service timings.,public administration
There is a serious public administration issue: the application status is not being updated by the concerned department.,public administration
कृपया मेरी शिकायत दर्ज करें कि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration
There is no proper grievance desk at the local government office.,public administration
There is excessive waiting time at the local government office.,public administration
Government office mein submit kiya gaya application abhi tak process nahi hua hai.,public administration
