input,output
The electricity transformer near our street is frequently failing.,energy
Public road ke paas proper street lighting nahi hai.,energy
The electricity transformer near our street is frequently failing.,energy
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy
Road ke paas ek loose electricity wire latak raha hai.,energy
Solar streetlights installed in our locality are not functioning.,energy
The electricity connection to our community is inadequate.,energy
हमारे क्षेत्र में बिजली की आपूर्ति बहुत अनियमित है।,energy
यह एक गंभीर ऊर्जा संबंधी समस्या है: हमारे क्षेत्र की कई स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि बार-बार शिकायत करने के बावजूद बिजली की कटौती जारी है।,energy
खुले बिजली के तार स्थानीय लोगों के लिए सुरक्षा का खतरा पैदा कर रहे हैं।,energy
A damaged electricity pole has not been repaired.,energy
Main complaint register karna chahta hoon ki hamare area ki kai streetlights work nahi kar rahi hain.,energy
Hamare area ka transformer overloaded hai aur frequently trip karta hai.,energy
Hamare area ka transformer overloaded hai aur frequently trip karta hai.,energy
Residents in our area are facing a problem because the electricity outage continues despite repeated complaints.,energy
Exposed electrical wires are creating a safety risk for residents.,energy
Please meri complaint register karein ki hamare locality mein frequent power cuts ho rahe hain.,energy
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy
Our locality has been without electricity for several hours.,energy
Our locality has been without electricity for several hours.,energy
Road ke paas ek loose electricity wire latak raha hai.,energy
"The streetlights are switched off at night, making the road unsafe.",energy
Ye ek serious energy-related issue hai: hamare locality mein frequent power cuts ho rahe hain.,energy
Hamare house ke paas damaged electrical cable abhi tak replace nahi hui.,energy
खराब मौसम के दौरान बिजली की आपूर्ति अस्थिर हो जाती है।,energy
सार्वजनिक सड़क के पास उचित स्ट्रीट लाइट की व्यवस्था नहीं है।,energy
हमारे क्षेत्र में कई घंटों से बिजली नहीं है।,energy
Hamare area ka transformer overloaded hai aur frequently trip karta hai.,energy
Road ke paas ek loose electricity wire latak raha hai.,energy
Frequent voltage fluctuations ki wajah se household appliances damage ho rahe hain.,energy
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy
Hamare community ka electricity connection adequate nahi hai.,energy
The electricity connection to our community is inadequate.,energy
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy
The damaged electrical cable near our house has not been replaced.,energy
The electricity supply in our area is very unreliable.,energy
हमारे घर के पास खराब बिजली की केबल अभी तक नहीं बदली गई है।,energy
The transformer in our area is overloaded and frequently trips.,energy
खराब मौसम के दौरान बिजली की आपूर्ति अस्थिर हो जाती है।,energy
I am facing an issue because there are frequent power cuts in our locality.,energy
Hamare community ka electricity connection adequate nahi hai.,energy
Hamare neighbourhood mein voltage bahut low aa raha hai.,energy
Hamare area mein electricity supply bahut unreliable hai.,energy
