input,output
The health centre does not have enough beds for patients.,healthcare
Hospital mein patients ko handle karne ke liye enough nurses nahi hain.,healthcare
The health centre does not have enough beds for patients.,healthcare
अस्पताल में दिव्यांग लोगों के लिए उचित सुविधाएं नहीं हैं।,healthcare
Hospital premises ki regular cleaning nahi hoti hai.,healthcare
The local healthcare centre is closed during its listed working hours.,healthcare
The waiting area at the health centre is overcrowded.,healthcare
सरकारी स्वास्थ्य केंद्र में दवाइयों की कमी है।,healthcare
यह एक गंभीर स्वास्थ्य संबंधी समस्या है: अस्पताल में मरीजों के लिए साफ पीने का पानी उपलब्ध नहीं है।,healthcare
स्वास्थ्य केंद्र में बुजुर्ग मरीजों के लिए पर्याप्त सुविधाएं नहीं हैं।,healthcare
स्थानीय लोगों को समस्या हो रही है क्योंकि जरूरत के समय एंबुलेंस सेवा उपलब्ध नहीं होती है।,healthcare
अस्पताल में मरीजों के लिए उचित कतार व्यवस्था नहीं है।,healthcare
The emergency services at the hospital are not available properly.,healthcare
Main complaint register karna chahta hoon ki hospital mein patients ke liye clean drinking water available nahi hai.,healthcare
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare
Residents are facing a problem because ambulance services are not available when urgently needed.,healthcare
There is no proper queue management at the hospital.,healthcare
Please meri complaint register karein ki mere area ke government hospital mein enough doctors nahi hain.,healthcare
Hospital mein emergency services properly available nahi hain.,healthcare
The local health centre does not have basic medical equipment.,healthcare
The local health centre does not have basic medical equipment.,healthcare
Hospital premises ki regular cleaning nahi hoti hai.,healthcare
The toilets in the government hospital are dirty and poorly maintained.,healthcare
Ye ek serious healthcare issue hai: mere area ke government hospital mein enough doctors nahi hain.,healthcare
Hospital laboratory time par reports provide nahi karti hai.,healthcare
सरकारी क्लिनिक में डॉक्टरों के आने का समय नियमित नहीं है।,healthcare
अस्पताल में मरीजों की देखभाल के लिए पर्याप्त नर्सें नहीं हैं।,healthcare
स्थानीय स्वास्थ्य केंद्र में बुनियादी चिकित्सा उपकरण नहीं हैं।,healthcare
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare
Hospital premises ki regular cleaning nahi hoti hai.,healthcare
Health centre mein elderly patients ke liye adequate facilities nahi hain.,healthcare
अस्पताल में दिव्यांग लोगों के लिए उचित सुविधाएं नहीं हैं।,healthcare
Health centre ka waiting area bahut overcrowded hai.,healthcare
The waiting area at the health centre is overcrowded.,healthcare
स्वास्थ्य केंद्र में बुजुर्ग मरीजों के लिए पर्याप्त सुविधाएं नहीं हैं।,healthcare
The hospital laboratory does not provide reports on time.,healthcare
There is a shortage of medicines at the government health centre.,healthcare
अस्पताल की लैब समय पर जांच रिपोर्ट उपलब्ध नहीं कराती है।,healthcare
Patients are being asked to buy medicines that should be available at the hospital.,healthcare
सरकारी क्लिनिक में डॉक्टरों के आने का समय नियमित नहीं है।,healthcare
I am facing an issue because the government hospital in my area does not have enough doctors.,healthcare
Health centre ka waiting area bahut overcrowded hai.,healthcare
Hospital mein patients ko bahut long waiting time face karna padta hai.,healthcare
Government health centre mein medicines ki shortage hai.,healthcare
Hospital mein emergency services properly available nahi hain.,healthcare
There is a shortage of medicines at the government health centre.,healthcare
Please meri complaint register karein ki hospital mein patients ke liye clean drinking water available nahi hai.,healthcare
Hospital mein emergency services properly available nahi hain.,healthcare
Hospital mein disabled people ke liye proper facilities nahi hain.,healthcare
सरकारी क्लिनिक में डॉक्टरों के आने का समय नियमित नहीं है।,healthcare
Local residents ko problem ho rahi hai kyunki hospital ki diagnostic testing facility properly work nahi kar rahi hai.,healthcare
I want to report that ambulance services are not available when urgently needed.,healthcare
Residents are facing a problem because the government hospital in my area does not have enough doctors.,healthcare
Hospital premises ki regular cleaning nahi hoti hai.,healthcare
There is a shortage of medicines at the government health centre.,healthcare
The local health centre does not have basic medical equipment.,healthcare
The health centre does not have adequate facilities for elderly patients.,healthcare
अस्पताल में मरीजों की देखभाल के लिए पर्याप्त नर्सें नहीं हैं।,healthcare
सरकारी स्वास्थ्य केंद्र में दवाइयों की कमी है।,healthcare
The government clinic has irregular doctor timings.,healthcare
अस्पताल में आपातकालीन सेवाएं ठीक से उपलब्ध नहीं हैं।,healthcare
स्थानीय स्वास्थ्य केंद्र निर्धारित समय में खुला नहीं रहता है।,healthcare
The health centre does not have enough beds for patients.,healthcare
Ye ek serious healthcare issue hai: hospital ki diagnostic testing facility properly work nahi kar rahi hai.,healthcare
Local healthcare centre apne listed working hours mein open nahi rehta.,healthcare
The health centre does not have enough beds for patients.,healthcare
The government clinic has irregular doctor timings.,healthcare
The local healthcare centre is closed during its listed working hours.,healthcare
सरकारी अस्पताल के शौचालय गंदे हैं और उनकी उचित सफाई नहीं होती।,healthcare
अस्पताल में आपातकालीन सेवाएं ठीक से उपलब्ध नहीं हैं।,healthcare
The hospital does not have proper facilities for people with disabilities.,healthcare
Government health centre mein medicines ki shortage hai.,healthcare
