input,output
The village does not have proper skill training opportunities for young people.,rural livelihood
Public works complete karne ke baad workers ko payment milne mein delay ho raha hai.,rural livelihood
The village does not have proper skill training opportunities for young people.,rural livelihood
बेरोजगारी के समय ग्रामीण श्रमिकों को समय पर सहायता नहीं मिलती है।,rural livelihood
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood
The local administration has not addressed the shortage of livelihood opportunities in our village.,rural livelihood
There are not enough opportunities for rural artisans to sell their products.,rural livelihood
स्थानीय सरकारी रोजगार योजना के तहत नियमित रूप से काम नहीं मिलता है।,rural livelihood
यह एक गंभीर ग्रामीण आजीविका संबंधी समस्या है: छोटे ग्रामीण व्यवसायों को पर्याप्त सरकारी सहायता नहीं मिल रही है।,rural livelihood
हमारे गांव की महिला उद्यमियों को उचित संस्थागत सहायता नहीं मिल रही है।,rural livelihood
हमारे गांव के लोगों को समस्या हो रही है क्योंकि हमारे गांव में छोटे व्यवसायों के लिए उचित सुविधाओं की कमी है।,rural livelihood
स्थानीय स्वयं सहायता समूहों को समय पर वित्तीय सहायता नहीं मिल रही है।,rural livelihood
There are no nearby vocational training centres for rural youth.,rural livelihood
Main complaint register karna chahta hoon ki small rural businesses ko adequate government support nahi mil raha hai.,rural livelihood
Government employment programme mein eligible workers ka proper registration nahi ho raha.,rural livelihood
Government employment programme mein eligible workers ka proper registration nahi ho raha.,rural livelihood
Residents in our village are facing a problem because the village lacks proper facilities for small-scale local businesses.,rural livelihood
The local self-help groups are not receiving timely financial support.,rural livelihood
Please meri complaint register karein ki hamare village mein logon ke liye enough employment opportunities nahi hain.,rural livelihood
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood
Rural workers are not getting information about available government livelihood schemes.,rural livelihood
Rural workers are not getting information about available government livelihood schemes.,rural livelihood
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood
Farm workers in our village are not getting enough seasonal employment.,rural livelihood
Ye ek serious rural livelihood issue hai: hamare village mein logon ke liye enough employment opportunities nahi hain.,rural livelihood
Village ke young people ke liye affordable skill development available nahi hai.,rural livelihood
स्थानीय रोजगार की कमी के कारण हमारे क्षेत्र के लोग पलायन कर रहे हैं।,rural livelihood
सार्वजनिक कार्य पूरा करने के बाद मजदूरों को भुगतान मिलने में देरी हो रही है।,rural livelihood
ग्रामीण श्रमिकों को सरकारी आजीविका योजनाओं की जानकारी समय पर नहीं मिलती है।,rural livelihood
Government employment programme mein eligible workers ka proper registration nahi ho raha.,rural livelihood
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood
Hamare village ki women entrepreneurs ko proper institutional support nahi mil raha hai.,rural livelihood
बेरोजगारी के समय ग्रामीण श्रमिकों को समय पर सहायता नहीं मिलती है।,rural livelihood
Rural artisans ke liye apne products sell karne ke enough opportunities nahi hain.,rural livelihood
There are not enough opportunities for rural artisans to sell their products.,rural livelihood
हमारे गांव की महिला उद्यमियों को उचित संस्थागत सहायता नहीं मिल रही है।,rural livelihood
Young people in the village do not have access to affordable skill development.,rural livelihood
The local government employment scheme does not provide work regularly.,rural livelihood
गांव के युवाओं के लिए सस्ती कौशल विकास सुविधाएं उपलब्ध नहीं हैं।,rural livelihood
The government employment programme is not registering eligible workers properly.,rural livelihood
स्थानीय रोजगार की कमी के कारण हमारे क्षेत्र के लोग पलायन कर रहे हैं।,rural livelihood
I am facing an issue because there are not enough employment opportunities for people in our village.,rural livelihood
Rural artisans ke liye apne products sell karne ke enough opportunities nahi hain.,rural livelihood
Rural employment scheme ke under workers ko wages time par nahi mil rahi hain.,rural livelihood
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood
The local government employment scheme does not provide work regularly.,rural livelihood
